Repetição,Cenário,Método,N apagado,MAE,RMSE,MAPE (%)
13,Bloco 3 meses,Média global,3,36.01568627450979,46.113919667296685,5.843500843158159
13,Bloco 3 meses,Linear,3,31.49999999999996,31.942859139407002,5.4188550564097575
13,Bloco 3 meses,PCHIP,3,26.268749999999994,27.134351426628,4.5405303487392805
13,Bloco 3 meses,Harmônica log,3,12.098239038338571,13.888827700018066,2.113395956402931
13,Bloco 3 meses,Harmônica + resíduo,3,11.761796552217826,16.114714060967145,2.104571266927817
13,Bloco 6 meses,Média global,6,182.70975609756098,195.68471445984284,23.7515133022104
13,Bloco 6 meses,Linear,6,89.45,114.33504128947811,11.190746928909594
13,Bloco 6 meses,PCHIP,6,102.76428571428572,126.67866819232857,12.94490690655731
13,Bloco 6 meses,Harmônica log,6,22.46097343201531,23.969652257506542,2.9418151111401833
13,Bloco 6 meses,Harmônica + resíduo,6,63.25513649344354,67.88577504911402,8.256481238382603
14,Aleatório 10%,Média global,8,74.20250000000001,89.74002228660301,11.67745368435886
14,Aleatório 10%,Linear,8,28.218749999999986,32.563673203433275,4.683367573609613
14,Aleatório 10%,PCHIP,8,28.198745463651676,32.77374565676464,4.654388419495698
14,Aleatório 10%,Harmônica log,8,24.615142229171646,31.355546900661963,3.8832995745564576
14,Aleatório 10%,Harmônica + resíduo,8,31.8654872301967,39.36384381028593,4.956315334300232
14,Aleatório 20%,Média global,16,67.41250000000001,81.11830650352609,11.660920299804122
14,Aleatório 20%,Linear,16,29.15937499999999,35.98822941254542,5.372154285130449
14,Aleatório 20%,PCHIP,16,29.238551691347503,35.03894458898936,5.370494039027853
14,Aleatório 20%,Harmônica log,16,21.186416516669194,27.83149354562525,3.724433253189438
14,Aleatório 20%,Harmônica + resíduo,16,25.125070363186662,34.439281794455546,4.466544655202709
14,Bloco 3 meses,Média global,3,30.758431372549012,35.973029420313495,5.051581952758846
14,Bloco 3 meses,Linear,3,20.91666666666659,21.478429101465103,3.56727266898855
14,Bloco 3 meses,PCHIP,3,27.915634571619268,29.55124270654483,4.789699158329438
14,Bloco 3 meses,Harmônica log,3,24.928765618406526,32.017956133112556,4.380945280422555
14,Bloco 3 meses,Harmônica + resíduo,3,18.473248921035218,22.7888729102227,3.151005759170423
14,Bloco 6 meses,Média global,6,171.62032520325204,189.45090149805446,22.339809361382624
14,Bloco 6 meses,Linear,6,76.19523809523805,95.59736746724073,9.613339934446314
14,Bloco 6 meses,PCHIP,6,73.69669582118559,92.0804981424535,9.307512976227843
14,Bloco 6 meses,Harmônica log,6,37.33405450023472,39.82424020222638,5.178634647294
14,Bloco 6 meses,Harmônica + resíduo,6,42.03988923649346,43.766889920848094,5.733527805042789
15,Aleatório 10%,Média global,8,109.51156249999998,131.79669801558953,17.67038407628579
15,Aleatório 10%,Linear,8,17.993749999999984,22.32262414258481,3.060448934269968
15,Aleatório 10%,PCHIP,8,12.971085691544268,16.606435541367414,2.3774545619230785
15,Aleatório 10%,Harmônica log,8,22.967909651411617,30.076118176829787,3.6662593737152407
15,Aleatório 10%,Harmônica + resíduo,8,23.160123782488505,31.700004255442416,3.7692144472676534
15,Aleatório 20%,Média global,16,102.92500000000001,126.71273851145047,17.23697477370907
15,Aleatório 20%,Linear,16,33.35000000000001,41.965610921324625,5.873815025872328
15,Aleatório 20%,PCHIP,16,33.40857169212197,40.919451133941884,5.930059745636694
15,Aleatório 20%,Harmônica log,16,21.25566239593296,28.695211475394732,3.616268864441252
15,Aleatório 20%,Harmônica + resíduo,16,24.23435519577586,34.5799285982624,4.5035041867507895
15,Bloco 3 meses,Média global,3,49.7443137254902,59.79562633051324,7.669015872327472
15,Bloco 3 meses,Linear,3,67.7,75.22994749433232,10.55656493154095
15,Bloco 3 meses,PCHIP,3,67.70000000000005,74.74914453941936,10.567899868800982
15,Bloco 3 meses,Harmônica log,3,11.752623911079468,13.417349155877611,1.8473529746318023
15,Bloco 3 meses,Harmônica + resíduo,3,9.42789949854398,9.765844566067225,1.5292829103056107
15,Bloco 6 meses,Média global,6,60.61666666666667,76.09428770344292,11.203568905625227
15,Bloco 6 meses,Linear,6,99.60555555555555,111.9750458127777,18.928029950295407
15,Bloco 6 meses,PCHIP,6,113.84876380043556,123.98934069470374,21.38357837745251
15,Bloco 6 meses,Harmônica log,6,42.57735391261198,56.45683410081691,8.357155125221388
